repo,cluster,url,arquivo_politica,texto_clusterizacao,texto_politica
Alamofire/Alamofire,2,https://github.com/Alamofire/Alamofire.git,CONTRIBUTING.md,"All pull requests must disclose the degree to which they were AI tool assisted and PR descriptions should be human written. AI tools may be used to assist in translation, but care should be taken to ensure the AI output remains accurate to the original text and isn't a restyling of it in the AI's voice, lest it be confused with direct AI output. Failure to disclose AI usage may lead to summary closing of issues and PRs.","Group 1 | File: CONTRIBUTING.md | Lines: 41, 43 | Heading: AI Usage | AI terms: AI tool; AI usage | Policy terms: pull requests; must; disclose; PR; should; PRs | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 41] All pull requests must disclose the degree to which they were AI tool assisted and PR descriptions should be human written. AI tools may be used to assist in translation, but care should be taken to ensure the AI output remains accurate to the original text and isn't a restyling of it in the AI's voice, lest it be confused with direct AI output. || 2. [line 43] Failure to disclose AI usage may lead to summary closing of issues and PRs."
apache/airflow,2,https://github.com/apache/airflow.git,.github/PULL_REQUEST_TEMPLATE.md,"## Was generative AI tooling used to co-author this PR? <!-- If generative AI tooling has been used in the process of authoring this PR, please change below checkbox to `[X]` followed by the name of the tool, uncomment the ""Generated-by"". -->","Group 1 | File: .github/PULL_REQUEST_TEMPLATE.md | Lines: 24, 27 | Heading: Was generative AI tooling used to co-author this PR? | AI terms: generative AI | Policy terms: PR | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 24] ##### Was generative AI tooling used to co-author this PR? || 2. [line 27] <!-- If generative AI tooling has been used in the process of authoring this PR, please change below checkbox to `[X]` followed by the name of the tool, uncomment the ""Generated-by"". -->"
aseprite/aseprite,2,https://github.com/aseprite/aseprite.git,.github/PULL_REQUEST_TEMPLATE.md,I declare that my contributions are not co-authored using a generative AI technology.,Group 1 | File: .github/PULL_REQUEST_TEMPLATE.md | Lines: 8 | Heading: | AI terms: generative AI | Policy terms: contributions | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 8] I declare that my contributions are not co-authored using a generative AI technology.
certbot/certbot,2,https://github.com/certbot/certbot.git,.github/pull_request_template.md,"- [ ] The Certbot team has recently expressed interest in reviewing a PR for this. If not, this PR may be closed due our limited resources and need to prioritize how we spend them. - [ ] If you used AI to create this PR, you have done a self-review of all AI-generated code and disclosed that your contribution was AI-generated per [EFF's AI-generated contribution policy](https://www.eff.org/about/opportunities/volunteer/coding-with-eff). You assert you have thoroughly understood, reviewed, and tested your entire submission. - [ ] If the change being made is to a [distributed component](https://certbot.eff.org/docs/contributing.html#code-components-and-layout), add a description of your change to the `newsfragments` directory. This should be a file called `<title>.<type>`, where `<title>` is either a GitHub issue number or some other unique name starting with `+`, and `<type>` is either `changed`, `fixed`, or `added`. * For example, if you fixed a bug for issue number 42, create a file called `42.fixed` and put a description of your change in that file. - [ ] Add or update any documentation as needed to support the changes in this PR. - [ ] Include your name in `AUTHORS.md` if you like.","Group 1 | File: .github/pull_request_template.md | Lines: 4 | Heading: Pull Request Checklist | AI terms: AI-generated | Policy terms: PR; contribution; policy; should | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 4] - [ ] The Certbot team has recently expressed interest in reviewing a PR for this. If not, this PR may be closed due our limited resources and need to prioritize how we spend them. - [ ] If you used AI to create this PR, you have done a self-review of all AI-generated code and disclosed that your contribution was AI-generated per [EFF's AI-generated contribution policy](https://www.eff.org/about/opportunities/volunteer/coding-with-eff). You assert you have thoroughly understood, reviewed, and tested your entire submission. - [ ] If the change being made is to a [distributed component](https://certbot.eff.org/docs/contributing.html#code-components-and-layout), add a description of your change to the `newsfragments` directory. This should be a file called `<title>.<type>`, where `<title>` is either a GitHub issue number or some other unique name starting with `+`, and `<type>` is either `changed`, `fixed`, or `added`. * For example, if you fixed a bug for issue number 42, create a file called `42.fixed` and put a description of your change in that file. - [ ] Add or update any documentation as needed to support the changes in this PR. - [ ] Include your name in `AUTHORS.md` if you like."
duckdb/duckdb,2,https://github.com/duckdb/duckdb.git,CONTRIBUTING.md,## Generative AI Policy,Group 1 | File: CONTRIBUTING.md | Lines: 130 | Heading: Generative AI Policy | AI terms: Generative AI | Policy terms: Policy | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 130] ## Generative AI Policy
envoyproxy/envoy,2,https://github.com/envoyproxy/envoy.git,CONTRIBUTING.md && PULL_REQUEST_TEMPLATE.md,"# Use of generative AI policy * Use of generative AI to assist in writing code or tests, as long as the submitter fully understands the code being submitted. * Use of generative AI to assist in reviewing of PRs, as long as the reviewer fully understands review comments produced by the AI review agent. AI review agent is an aid to the reviewer, not to the PR author. * You understand the change you are submitting. * You respond to questions and comments from the reviewer. If you use generative AI to help in your responses, you are required to edit and proof read the AI-generated responses, and ensure it is a reasonable response to the question or issue raised. * You are able to revise the AI-generated code if requested by the reviewer. You are responsible for ensuring issues are addressed, even if your AI assistant is unable. * You are transparent about your AI usage. It is often helpful to a reviewer to know that an AI tool was used; please include that information in the PR description. * All generated code must be released under the same [license](LICENSE) as Envoy. You are responsible for ensuring that the tools you use to generate code do not add any additional licensing restrictions. Please check the [use of generative AI policy](https://github.com/envoyproxy/envoy/blob/main/CONTRIBUTING.md?plain=1#L41). You may use generative AI only if you fully understand the code. You need to disclose this usage in the PR description to ensure transparency. -->","Group 1 | File: CONTRIBUTING.md | Lines: 41 | Heading: Use of generative AI policy | AI terms: generative AI | Policy terms: policy | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 41] # Use of generative AI policy ### Group 2 | File: CONTRIBUTING.md | Lines: 50, 58 | Heading: What is allowed | AI terms: generative AI | Policy terms: PRs; PR; submitting; required; must | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 50] * Use of generative AI to assist in writing code or tests, as long as the submitter fully understands the code being submitted. * Use of generative AI to assist in reviewing of PRs, as long as the reviewer fully understands review comments produced by the AI review agent. AI review agent is an aid to the reviewer, not to the PR author. || 2. [line 58] * You understand the change you are submitting. * You respond to questions and comments from the reviewer. If you use generative AI to help in your responses, you are required to edit and proof read the AI-generated responses, and ensure it is a reasonable response to the question or issue raised. * You are able to revise the AI-generated code if requested by the reviewer. You are responsible for ensuring issues are addressed, even if your AI assistant is unable. * You are transparent about your AI usage. It is often helpful to a reviewer to know that an AI tool was used; please include that information in the PR description. * All generated code must be released under the same [license](LICENSE) as Envoy. You are responsible for ensuring that the tools you use to generate code do not add any additional licensing restrictions. ### Group 3 | File: PULL_REQUEST_TEMPLATE.md | Lines: 21, 23 | Heading: | AI terms: generative AI | Policy terms: policy; disclose; PR | Best score: 3 | Has restrictive term: true | Paragraphs: 1. [line 21] Please check the [use of generative AI policy](https://github.com/envoyproxy/envoy/blob/main/CONTRIBUTING.md?plain=1#L41). || 2. [line 23] You may use generative AI only if you fully understand the code. You need to disclose this usage in the PR description to ensure transparency. -->"
fastify/fastify,2,https://github.com/fastify/fastify.git,CONTRIBUTING.md,"1. **No `--force` pushes** on `main` or modifying the Git history in any way after a PR has been merged. 1. **Non-main branches** ought to be used for ongoing work. 1. **External API changes and significant modifications** ought to be subject to an **internal pull request** to solicit feedback from other contributors. 1. Internal pull requests to solicit feedback are *encouraged* for any other non-trivial contribution but are left to the discretion of the contributor. 1. Contributors should attempt to adhere to the prevailing code style. 1. At least two contributors, or one core member, must approve pull requests before merging. 1. All integrated CI services must be green before a pull request can be merged. 1. A lead maintainer must merge SemVer-major changes in this repository. 1. If it is not possible to reach a consensus in a pull request, the decision is left to the lead maintainer's team. 1. Pure-AI contributions with no human in the loop are not welcome. Pull requests ***MUST*** be opened by a human. Pull requests opened by bots not managed by the Fastify organization will result in the bot being banned from the organization.","Group 1 | File: CONTRIBUTING.md | Lines: 37 | Heading: Rules | AI terms: AI contributions | Policy terms: PR; pull request; contributors; pull requests; contribution; contributor; should; must; contributions | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 37] 1. **No `--force` pushes** on `main` or modifying the Git history in any way after a PR has been merged. 1. **Non-main branches** ought to be used for ongoing work. 1. **External API changes and significant modifications** ought to be subject to an **internal pull request** to solicit feedback from other contributors. 1. Internal pull requests to solicit feedback are *encouraged* for any other non-trivial contribution but are left to the discretion of the contributor. 1. Contributors should attempt to adhere to the prevailing code style. 1. At least two contributors, or one core member, must approve pull requests before merging. 1. All integrated CI services must be green before a pull request can be merged. 1. A lead maintainer must merge SemVer-major changes in this repository. 1. If it is not possible to reach a consensus in a pull request, the decision is left to the lead maintainer's team. 1. Pure-AI contributions with no human in the loop are not welcome. Pull requests ***MUST*** be opened by a human. Pull requests opened by bots not managed by the Fastify organization will result in the bot being banned from the organization."
gchq/CyberChef,2,https://github.com/gchq/CyberChef.git,.github/pull_request_template.md,"**AI disclosure** If you have used any AI tools while creating this code, **you must declare your usage along with the name of the tools that you used**. Regardless of AI tool usage, you are responsible for any code that you submit, and we expect you to have checked the code and have enough of an understanding of it to answer any questions we might have.","Group 1 | File: .github/pull_request_template.md | Lines: 11 | Heading: | AI terms: AI tools | Policy terms: disclosure; must; submit | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 11] **AI disclosure** If you have used any AI tools while creating this code, **you must declare your usage along with the name of the tools that you used**. Regardless of AI tool usage, you are responsible for any code that you submit, and we expect you to have checked the code and have enough of an understanding of it to answer any questions we might have."
JuliaLang/julia,2,https://github.com/JuliaLang/julia.git,CONTRIBUTING.md,"> [!IMPORTANT] > If your pull request contains substantial contributions from a generative AI tool, please disclose so with details, and review all changes before opening. This also applies to other content, such as issues, discussions, and comments. Similarly to other types of contribution, AI-assisted review is allowed so long as it is disclosed, but all humans remain responsible for the content they generate. Low-effort ""LGTM"" or unabridged walls of AI-generated text are not useful. * If your pull request contains substantial contributions from a generative AI tool, please disclose so with details, and review all changes before opening.","Group 1 | File: CONTRIBUTING.md | Lines: 8 | Heading: Notes for Julia Contributors | AI terms: generative AI | Policy terms: pull request; contributions; disclose | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 8] > [!IMPORTANT] > If your pull request contains substantial contributions from a generative AI tool, please disclose so with details, and review all changes before opening. This also applies to other content, such as issues, discussions, and comments. ### Group 2 | File: CONTRIBUTING.md | Lines: 56 | Heading: Reviewing pull requests | AI terms: AI-assisted | Policy terms: contribution | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 56] Similarly to other types of contribution, AI-assisted review is allowed so long as it is disclosed, but all humans remain responsible for the content they generate. Low-effort ""LGTM"" or unabridged walls of AI-generated text are not useful. ### Group 3 | File: CONTRIBUTING.md | Lines: 72 | Heading: Contributor Checklist | AI terms: generative AI | Policy terms: pull request; contributions; disclose | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 72] * If your pull request contains substantial contributions from a generative AI tool, please disclose so with details, and review all changes before opening."
k3s-io/k3s,2,https://github.com/k3s-io/k3s.git,CONTRIBUTING.md,"Using AI tools to help write your PR is acceptable, but as the author, you are responsible for understanding every change. If you used AI tools in preparing your PR, you must disclose this in the description of your PR. Listing AI tooling as a co-author, co-signing commits using an AI tool, or using the `assisted-by`, `co-developed` or similar commit trailer is not allowed. Do not leave the first review of AI generated changes to the reviewers. Verify the changes (code review, testing, etc.) before submitting your PR. Reviewers may ask questions about your AI-assisted code, and if you cannot explain why a change was made, the PR will be closed. When responding to review comments, you must do so without relying on AI tools. Reviewers want to engage directly with you, not with generated responses. If you do not engage directly with reviewers, the PR will be closed.","Group 1 | File: CONTRIBUTING.md | Lines: 19, 28, 31 | Heading: AI Guidance | AI terms: AI tools; AI-assisted | Policy terms: PR; must; disclose; not allowed; submitting | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 19] Using AI tools to help write your PR is acceptable, but as the author, you are responsible for understanding every change. If you used AI tools in preparing your PR, you must disclose this in the description of your PR. Listing AI tooling as a co-author, co-signing commits using an AI tool, or using the `assisted-by`, `co-developed` or similar commit trailer is not allowed. || 2. [line 28] Do not leave the first review of AI generated changes to the reviewers. Verify the changes (code review, testing, etc.) before submitting your PR. Reviewers may ask questions about your AI-assisted code, and if you cannot explain why a change was made, the PR will be closed. || 3. [line 31] When responding to review comments, you must do so without relying on AI tools. Reviewers want to engage directly with you, not with generated responses. If you do not engage directly with reviewers, the PR will be closed."
